name,chi2,Z,P,P.adjusted,comparisons
p_ugl,178.9566690251576,-6.651217019151315,1.4533964869180956e-11,1.0658240904066034e-10,Kearney Lake - Tower Road Reservoir
p_ugl,178.9566690251576,-6.303709210637904,1.4530274522298453e-10,9.589981184716978e-10,Kearney Lake - Shubenacadie Canal
p_ugl,178.9566690251576,5.6277675139857,9.127845439095106e-9,5.476707263457064e-8,INP - Penhorn Lake
p_ugl,178.9566690251576,-5.596032880499937,1.0965606300335762e-8,6.03108346518467e-8,Kearney Lake - Penhorn Lake
p_ugl,178.9566690251576,-5.356282268197067,4.247588019974008e-8,2.156467763986804e-7,Lake Charles 2 - Tower Road Reservoir
p_ugl,178.9566690251576,-5.052711457990425,2.177908435395254e-7,1.0267282624006198e-6,Lake Charles 2 - Shubenacadie Canal
p_ugl,178.9566690251576,-4.5334911849513535,2.9008344257188435e-6,1.2763671473162913e-5,Lake Charles 1 - Tower Road Reservoir
p_ugl,178.9566690251576,-4.2576611065842505,1.0328839181446309e-5,4.260646162346603e-5,Lake Charles 1 - Shubenacadie Canal
p_ugl,178.9566690251576,-4.202306123076257,1.321047533617946e-5,5.128772777575555e-5,Lake Charles 2 - Penhorn Lake
p_ugl,178.9566690251576,3.9058198829675894,4.695322103037727e-5,1.7216181044471665e-4,INP - Tower Road Reservoir
p_ugl,178.9566690251576,3.889264359364556,5.0274272053916016e-5,1.7463694502939248e-4,INP - Shubenacadie Canal
p_ugl,178.9566690251576,-3.8204852857961646,6.659467571942706e-5,2.197624298741093e-4,Lake Banook 2 - Tower Road Reservoir
p_ugl,178.9566690251576,-3.7356220836684533,9.362585332666282e-5,2.942526818837974e-4,Lake Banook 1 - Tower Road Reservoir
p_ugl,178.9566690251576,3.606630745472408,1.5509929642622283e-4,4.652978892786685e-4,Tower Road Reservoir - Turtle Creek Reservoir
p_ugl,178.9566690251576,3.550894790027878,1.9196192836423316e-4,5.067794908815756e-4,Cunard Pond - Kearney Lake
p_ugl,178.9566690251576,-3.57004548699043,1.784596224377177e-4,5.121015252560594e-4,Lake Banook 2 - Shubenacadie Canal
p_ugl,178.9566690251576,-3.558156208500888,1.8673359930100028e-4,5.135173980777508e-4,Kearney Lake - Lake Fletcher
p_ugl,178.9566690251576,-3.488204280093121,2.431382004910383e-4,6.171969704772511e-4,Lake Banook 1 - Shubenacadie Canal
p_ugl,178.9566690251576,3.376553884174333,3.669999666506865e-4,8.97111029590567e-4,Shubenacadie Canal - Turtle Creek Reservoir
p_ugl,178.9566690251576,-3.355093935314978,3.966901952268512e-4,0.00093505546017757775,Cunard Pond - Tower Road Reservoir
p_ugl,178.9566690251576,-3.314761057538088,4.5860745119265164e-4,0.0010437273027143106,Lake Charles 1 - Penhorn Lake
p_ugl,178.9566690251576,-3.250122162895602,5.767772172055871e-4,0.0012689098778522916,Lake Fletcher - Tower Road Reservoir
p_ugl,178.9566690251576,-3.146493118969261,8.262057481678292e-4,0.0017590186896476363,Kearney Lake - Lake Banook 1
p_ugl,178.9566690251576,-3.1212268135490286,9.004963106762056e-4,0.0018572736407696739,Cunard Pond - Shubenacadie Canal
p_ugl,178.9566690251576,-3.056305780922582,0.0011204130066657285,0.002240826013331457,Kearney Lake - Lake Banook 2
p_ugl,178.9566690251576,-3.0244633567854025,0.0012453732106328563,0.002417489173581427,Lake Fletcher - Shubenacadie Canal
p_ugl,178.9566690251576,-3.0077726913184084,0.001315849502605035,0.0024813162049123517,Kearney Lake - Turtle Creek Reservoir
p_ugl,178.9566690251576,-2.548260373513594,0.005413081733997297,0.009923983178995044,Lake Banook 2 - Penhorn Lake
p_ugl,178.9566690251576,-2.457030129056329,0.00700454685150532,0.012494597086468948,Lake Banook 1 - Penhorn Lake
